Tempo,Tensao
0.00,0.0000
0.00,0.0000
0.01,0.0000
0.01,0.0000
0.01,0.0000
0.01,0.0000
0.03,0.0000
0.04,0.0000
0.05,0.0098
0.07,0.0000
0.08,0.0000
0.10,0.0000
0.11,0.0000
0.12,0.0000
0.14,0.0000
0.15,0.0000
0.16,0.0000
0.18,0.0000
0.19,0.0000
0.20,0.0000
0.22,0.0000
0.23,0.0000
0.24,0.0000
0.26,0.0000
0.27,0.0000
0.28,0.0000
0.30,0.0000
0.31,0.0000
0.32,0.0000
0.34,0.0000
0.35,0.0000
0.37,0.0000
0.38,0.0000
0.39,0.0000
0.41,0.0000
0.42,0.0000
0.43,0.0000
0.45,0.0000
0.46,0.0000
0.47,0.0000
0.49,0.0049
0.50,0.0000
0.51,0.0000
0.53,0.0000
0.54,0.0000
0.55,0.0000
0.57,0.0000
0.58,0.0000
0.60,0.0000
0.61,0.0000
0.62,0.0000
0.64,0.0000
0.65,0.0000
0.66,0.0000
0.68,0.0000
0.69,0.0000
0.70,0.0000
0.72,0.0098
0.73,0.0000
0.74,0.0000
0.76,0.0000
0.77,0.0000
0.79,0.0000
0.80,0.0000
0.81,0.0000
0.83,0.0000
0.84,0.0000
0.85,0.0000
0.87,0.0000
0.88,0.0098
0.89,0.0000
0.91,0.0000
0.92,0.0000
0.93,0.0000
0.95,0.0049
0.96,0.0000
0.97,0.0000
0.99,0.0000
1.00,0.0000
1.01,0.0000
1.03,0.0000
1.04,0.0000
1.05,0.0000
1.07,0.0000
1.08,0.0000
1.10,0.0049
1.11,0.0000
1.12,0.0000
1.14,0.0000
1.15,0.0000
1.16,0.0000
1.18,0.0000
1.19,0.0000
1.20,0.0000
1.22,0.0000
1.23,0.0000
1.25,0.0000
1.26,0.0000
1.27,0.0000
1.28,0.0000
1.30,0.0000
1.31,0.0000
1.33,0.0000
1.34,0.0000
1.35,0.0000
1.37,0.0000
1.38,0.0000
1.39,0.0000
1.41,0.0049
1.42,0.0000
1.43,0.0000
1.45,0.0000
1.46,0.0098
1.47,0.0000
1.49,0.0000
1.50,0.0000
1.51,0.0000
1.53,0.0000
1.54,0.0000
1.55,0.0000
1.57,0.0049
1.58,0.0000
1.60,0.0000
1.61,0.0000
1.62,0.0000
1.64,0.0000
1.65,0.0000
1.66,0.0000
1.68,0.0000
1.69,0.0000
1.70,0.0000
1.72,0.0000
1.73,0.0000
1.74,0.0000
1.76,0.0000
1.77,0.0000
1.78,0.0000
1.80,0.0000
1.81,0.0000
1.83,0.0000
1.84,0.0000
1.85,0.0000
1.87,0.0000
1.88,0.0000
1.89,0.0000
1.91,0.0000
1.92,0.0000
1.93,0.0000
1.95,0.0000
1.96,0.0000
1.98,0.0000
1.99,0.0000
2.00,0.0000
2.02,0.0000
2.03,0.0000
2.04,0.0000
2.06,0.0049
2.07,0.0000
2.08,0.0000
2.10,0.0000
2.11,0.0000
2.12,0.0000
2.14,0.0000
2.15,0.0000
2.16,0.0000
2.18,0.0000
2.19,0.0000
2.20,0.0000
2.22,0.0000
2.23,0.0000
2.25,0.0000
2.26,0.0000
2.27,0.0000
2.29,0.0000
2.30,0.0000
2.31,0.0000
2.33,0.0000
2.34,0.0000
2.35,0.0000
2.37,0.0000
2.38,0.0000
2.39,0.0000
2.41,0.0000
2.42,0.0000
2.44,0.0000
2.45,0.0000
2.46,0.0000
2.48,4.9658
2.49,0.0000
2.50,0.0000
2.52,0.0000
2.53,4.9951
2.54,0.0000
2.56,0.0000
2.57,0.0000
2.58,0.0000
2.60,0.0000
2.61,0.0000
2.62,0.0049
2.64,0.0000
2.65,0.0000
2.66,0.0000
2.68,4.9365
2.69,0.0000
2.71,0.0000
2.72,0.0000
2.73,0.0000
2.75,0.0000
2.76,0.0000
2.77,0.0000
2.79,0.0000
2.80,0.0000
2.81,0.0000
2.83,0.0000
2.84,0.0000
2.85,0.0000
2.87,0.0000
2.88,0.0000
2.89,0.0000
2.91,0.0000
2.92,0.0000
2.93,0.0000
2.95,0.0000
2.96,0.0000
2.98,0.0000
2.99,0.0000
3.00,0.0000
3.02,0.0098
3.03,0.0000
3.04,0.0000
3.06,0.0000
3.07,0.0000
3.08,0.0000
3.10,0.0000
3.11,0.0000
3.12,5.0000
3.14,0.2542
3.15,0.0000
3.16,0.0000
3.18,0.0000
3.19,0.0000
3.21,0.0000
3.22,0.0000
3.23,0.0000
3.25,0.0000
3.26,0.0000
3.27,0.0000
3.29,0.0000
3.30,0.0000
3.31,0.0000
3.33,0.0000
3.34,0.0000
3.35,0.0000
3.37,0.0000
3.38,0.0000
3.39,0.0000
3.41,0.0000
3.42,0.0000
3.44,0.0000
3.45,0.0000
3.46,3.8221
3.48,4.8338
3.49,4.6872
3.50,0.0000
3.52,0.0000
3.53,0.0000
3.54,0.0000
3.56,0.0000
3.57,0.0000
3.58,0.0000
3.60,0.0000
3.61,0.0000
3.62,0.0000
3.64,0.0000
3.65,0.0000
3.66,0.0000
3.68,0.0000
3.69,0.0049
3.71,0.0000
3.72,0.0049
3.73,0.0000
3.75,0.0000
3.76,0.0049
3.77,0.0000
3.79,0.0000
3.80,0.0000
3.81,0.0000
3.83,0.0000
3.84,0.0000
3.85,0.0000
3.87,0.0000
3.88,0.0000
3.89,0.0049
3.91,0.0000
3.92,0.0000
3.94,0.0000
3.95,0.0000
3.96,0.0000
3.98,0.0000
3.99,0.0000
4.00,0.0000
4.02,0.0000
4.03,0.0000
4.04,0.0000
4.06,0.0049
4.07,0.0000
4.08,0.0000
4.10,0.0000
4.11,0.0000
4.12,0.0000
4.14,0.0000
4.15,0.0000
4.17,0.0000
4.18,0.0000
4.19,0.0000
4.21,0.0000
4.22,0.0000
4.23,0.0000
4.25,0.0000
4.26,0.0000
4.27,0.0000
4.29,4.9853
4.30,0.0000
4.31,0.0000
4.33,0.0000
4.34,4.9413
4.35,5.0000
4.37,3.7928
4.38,0.0000
4.40,0.0000
4.41,0.0000
4.42,0.0000
4.44,0.0000
4.45,0.0098
4.46,0.0000
4.48,0.0000
4.49,4.7849
4.50,0.0000
4.52,0.0000
4.53,0.0000
4.54,0.0000
4.56,0.0000
4.57,0.0000
4.58,0.0000
4.60,0.0000
4.61,0.0000
4.62,0.0000
4.64,0.0000
4.65,0.0000
4.67,0.0000
4.68,0.0000
4.69,0.0000
4.71,0.0000
4.72,0.0000
4.73,0.0049
4.75,0.0000
4.76,0.0000
4.77,0.0000
4.79,0.0000
4.80,0.0000
4.81,0.0000
4.83,0.0000
4.84,0.0000
4.85,0.0000
4.87,0.0000
4.88,0.0000
4.89,0.0000
4.91,0.0000
4.92,0.0049
4.94,0.0000
4.95,0.0000
4.96,0.0000
4.98,0.0000
4.99,0.0000
5.00,0.0000
5.02,0.0000
5.03,0.0000
5.04,0.0000
5.06,0.0000
5.07,0.0000
5.08,0.0000
5.10,0.0000
5.11,0.0000
5.13,0.0000
5.14,0.0000
5.15,0.0000
5.17,0.0000
5.18,0.0000
5.19,0.0000
5.21,0.0000
5.22,0.0000
5.23,0.0000
5.25,0.0000
5.26,0.0000
5.27,0.0000
5.29,0.0000
5.30,0.0000
5.31,4.9853
5.33,4.9365
5.34,0.0000
5.35,0.0000
5.37,5.0000
5.38,4.8289
5.40,4.9951
5.41,4.9707
5.42,0.0049
5.44,0.0000
5.45,0.0000
5.46,0.0000
5.48,0.0000
5.49,0.0000
5.50,0.0000
5.52,0.0000
5.53,0.0000
5.54,0.0000
5.56,0.0000
5.57,0.0000
5.58,0.0000
5.60,0.0000
5.61,0.0000
5.62,0.0000
5.64,0.0000
5.65,0.0000
5.67,0.0000
5.68,0.0000
5.69,0.0000
5.71,0.0000
5.72,0.0000
5.73,0.0000
5.75,0.0000
5.76,0.0000
5.77,0.0000
5.79,0.0000
5.80,0.0000
5.81,0.0147
5.83,0.0000
5.84,0.0000
5.86,0.0000
5.87,0.0000
5.88,0.0000
5.90,0.0000
5.91,0.0000
5.92,0.0000
5.94,0.0000
5.95,0.0000
5.96,0.0000
5.98,0.0000
5.99,0.0000
6.00,0.0000
6.02,0.0049
6.03,0.0000
6.04,0.0000
6.06,0.0000
6.07,0.0000
6.08,0.0049
6.10,0.0000
6.11,0.0000
6.13,0.0049
6.14,0.0000
6.15,0.0000
6.17,0.0000
6.18,0.0000
6.19,0.0000
6.21,0.0000
6.22,0.0000
6.23,0.0000
6.25,0.0000
6.26,0.0000
6.27,0.0000
6.29,0.0000
6.30,0.0049
6.32,0.0049
6.33,0.0000
6.34,0.0000
6.35,0.0000
6.37,4.9853
6.38,0.0000
