Tempo,Tensao
72.96,0.0000
72.98,"0.00000"
72.86,0.6256
72.88,0.0000
72.89,0.0000
72.90,0.1320
72.92,0.0000
72.93,0.0000
72.95,0.2542
72.96,0.0000
0.00,0.0000
0.00,0.0196
0.01,0.0000
0.01,0.1124
0.01,0.0098
0.01,0.0098
0.03,0.0000
0.04,0.0000
0.05,0.0000
0.07,0.0000
0.08,0.0000
0.10,0.0000
0.11,0.0000
0.12,0.0000
0.14,0.0000
0.15,0.0000
0.16,0.0049
0.18,0.0000
0.19,0.0147
0.20,0.0000
0.22,0.0000
0.23,0.0000
0.24,0.0000
0.26,0.0000
0.27,0.0000
0.28,0.0000
0.30,0.0049
0.31,0.0587
0.32,0.0000
0.34,0.2688
0.35,0.0000
0.37,0.0000
0.38,0.0000
0.39,0.0000
0.41,0.0000
0.42,0.0000
0.43,0.0000
0.45,0.2884
0.46,0.0000
0.47,0.1564
0.49,0.0000
0.50,0.0293
0.51,0.0000
0.53,0.7185
0.54,0.0000
0.55,0.0244
0.57,0.0000
0.58,0.0000
0.60,0.0000
0.61,0.0000
0.62,0.0000
0.64,0.0000
0.65,0.0000
0.66,0.0000
0.68,0.0000
0.69,0.0000
0.70,0.0000
0.72,0.0000
0.73,0.0000
0.74,0.0000
0.76,0.0000
0.77,0.0000
0.79,0.0000
0.80,0.0000
0.81,0.0000
0.83,0.0000
0.84,0.7429
0.85,0.0000
0.87,0.0293
0.88,0.0000
0.89,0.0440
0.91,0.0000
0.92,0.0000
0.93,0.0000
0.95,0.0000
0.96,0.0000
0.97,0.0000
0.99,0.0000
1.00,0.0147
1.01,0.0000
1.03,0.0489
1.04,0.0000
1.05,0.2151
1.07,0.0000
1.08,0.1906
1.10,0.0000
1.11,0.0000
1.12,0.0342
1.14,0.0000
1.15,0.0000
1.16,0.0000
1.18,0.0000
1.19,0.0000
1.20,0.0098
1.22,0.0000
1.23,0.0000
1.25,0.0000
1.26,0.0000
1.27,0.0000
1.28,0.0000
1.30,0.0000
1.31,0.0000
1.33,0.0000
1.34,0.0000
1.35,0.0000
1.37,0.0440
1.38,0.0049
1.39,0.0000
1.41,0.0000
1.42,0.0440
1.43,0.0000
1.45,0.0000
1.46,0.0000
1.47,0.0440
1.49,0.0000
1.50,0.0000
1.51,0.0000
1.53,0.3177
1.54,0.0000
1.55,1.5591
1.57,0.0000
1.58,0.0000
1.60,0.0000
1.61,0.0000
1.62,0.0000
1.64,0.0000
1.65,0.0000
1.66,0.0000
1.68,0.0000
1.69,0.0000
1.70,0.0000
1.72,0.0000
1.73,0.0000
1.74,0.0000
1.76,0.0000
1.77,0.0000
1.78,0.0196
1.80,0.0000
1.81,0.0000
1.83,0.0000
1.84,0.0000
1.85,0.0000
1.87,0.0244
1.88,0.0000
1.89,0.0293
1.91,0.0000
1.92,0.0000
1.93,0.0000
1.95,0.0000
1.96,0.0000
